005097	MMC-EMBEDDED COMPUTERTECHNIK GmbH
0050A7	Cisco Systems, Inc
0050B7	BOSER TECHNOLOGY CO., LTD.
0050C7	Private
0050D7	Telstrat
0050E7	PARADISE INNOVATIONS (ASIA)
0050F7	VENTURE MANUFACTURING (SINGAPORE) LTD.
005907	LenovoEMC Products USA, LLC
006007	ACRES GAMING, INC.
006017	TOKIMEC INC.
006027	Superior Modular Products
006037	NXP Semiconductors
006047	Cisco
006057	Murata Manufacturing Co., Ltd.
006067	Acer Lan
006077	PRISA NETWORKS
006087	KANSAI ELECTRIC CO., LTD.
006097	3com
0060A7	MICROSENS GmbH & CO. KG
0060B7	CHANNELMATIC, INC.
0060C7	AMATI COMMUNICATIONS CORP.
0060D7	ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE (EPFL)
0060E7	Randata
0060F7	DATAFUSION SYSTEMS
008007	Dlog NC-Systeme
008017	Pfu
008027	ADAPTIVE SYSTEMS, INC.
008037	Ericsson Business Comm.
008047	IN-NET CORP.
008057	Adsoft Ltd
008067	Square D Company
008077	Brother industries, LTD.
008087	Okidata
008097	CENTRALP AUTOMATISMES
0080A7	Measurex Corp
0080B7	STELLAR COMPUTER
0080C7	Xircom, Inc.
0080D7	Fantum Electronics
0080E7	Lynwood Scientific Dev Ltd
0080F7	Zenith Communications Products
009007	DOMEX TECHNOLOGY CORP.
009017	Zypcom, Inc
009027	Intel
009037	ACUCOMM, INC.
009047	GIGA FAST E. LTD.
009057	AANetcom, Inc.
009067	WalkAbout Computers, Inc.
009077	ADVANCED FIBRE COMMUNICATIONS
009087	Itis
009097	Sycamore Networks
0090A7	CLIENTEC CORPORATION
0090B7	DIGITAL LIGHTWAVE, INC.
0090C7	ICOM INC.
0090D7	NetBoost Corp.
0090E7	HORSCH ELEKTRONIK AG
0090F7	NBASE COMMUNICATIONS LTD.
00A007	APEXX TECHNOLOGY, INC.
00A017	J B M CORPORATION
00A027	FIREPOWER SYSTEMS, INC.
00A037	Mindray DS USA, Inc.
00A047	INTEGRATED FITNESS CORP.
00A057	LANCOM Systems GmbH
00A067	NETWORK SERVICES GROUP
00A077	FUJITSU NEXION, INC.
00A087	Microsemi Corporation
00A097	JC INFORMATION SYSTEMS
00A0A7	VORAX CORPORATION
00A0B7	CORDANT, INC.
00A0C7	TADIRAN TELECOMMUNICATIONS
00A0D7	KASTEN CHASE APPLIED RESEARCH
00A0E7	CENTRAL DATA CORPORATION
00A0F7	V.I COMPUTER CORP.
00B017	InfoGear Technology Corp.
00B0C7	Tellabs Operations, Inc.
00B0E7	British Federal Ltd.
00BD27	Exar Corp.
00C007	Pinnacle Data Systems Inc
00C017	Fluke
00C027	Cipher Systems, Inc.
00C037	Dynatem
00C047	Unimicro Systems Inc
00C057	Myco Electronics
00C067	United Barcode Industries
00C077	Daewoo Telecom Ltd
00C087	UUNET Technologies Inc
00C097	Archipel SA
00C0A7	SEEL Ltd
00C0B7	American Power Conversion Corp
00C0C7	SPARKTRUM MICROSYSTEMS, INC.
00C0D7	TAIWAN TRADING CENTER DBA
00C0E7	Fiberdata AB
00C0F7	Engage Communication, Inc.
00D007	MIC ASSOCIATES, INC.
00D017	SYNTECH INFORMATION CO., LTD.
00D027	APPLIED AUTOMATION, INC.
00D037	ARRIS Group, Inc.
00D047	XN TECHNOLOGIES
00D057	ULTRAK, INC.
00D067	CAMPIO COMMUNICATIONS
00D077	LUCENT TECHNOLOGIES
00D087	MICROFIRST INC.
00D097	Cisco Systems, Inc
00D0A7	TOKYO SOKKI KENKYUJO CO., LTD.
00D0B7	Intel Corporation
00D0C7	PATHWAY, INC.
00D0D7	B2C2, INC.
