000003	XEROX CORPORATION
000013	Camex
000023	ABB Automation AB, Dept. Q
000033	EGAN MACHINERY COMPANY
000043	MICRO TECHNOLOGY
000053	COMPUCORP
000063	HP
000073	Dupont
000083	Tadpole Technology  [had Optical Data Systems which is wrong according to both]
000093	Proteon
0000A3	NAT
0000B3	Cimlinc
0000C3	HARRIS CORP COMPUTER SYS DIV
0000D3	Wang Labs
0000E3	Integrated Micro Products Ltd
0000F3	Gandalf Data Ltd. - Canada
000103	3COM CORPORATION
000113	OLYMPUS CORPORATION
000123	DIGITAL ELECTRONICS CORP.
000133	KYOWA Electronic Instruments C
000143	IEEE 802
000153	ARCHTEK TELECOM CORPORATION
000163	NDC (National Datacomm Corporation)
000173	Amcc
000183	ANITE TELECOMS
000193	Hanbyul Telecom Co., Ltd.
0001A3	GENESYS LOGIC, INC.
0001B3	Precision Electronic Manufacturing
0001C3	Acromag, Inc.
0001D3	PAXCOMM, Inc.
0001E3	Siemens AG
0001F3	QPS, Inc.
000203	Woonsang Telecom, Inc.
000213	S.D.E.L.
000223	Clicktv
000233	Mantra Communications, Inc.
000243	Raysis Co., Ltd.
000253	Televideo, Inc.
000263	UPS Manufacturing SRL
000273	Coriolis Networks
000283	Spectrum Controls, Inc.
000293	Solid Data Systems
0002A3	ABB Switzerland Ltd, Power Systems
0002B3	Intel Corporation
0002C3	Arelnet Ltd.
0002D3	NetBotz, Inc.
0002E3	LITE-ON Communications, Inc.
0002F3	Media Serve Co., Ltd.
000303	JAMA Electronics Co., Ltd.
000313	Access Media SPA
000323	Cornet Technology, Inc.
000333	Digitel Co., Ltd.
000343	Martin Professional A/S
000353	Mitac, Inc.
000363	Miraesys Co., Ltd.
000373	Aselsan A.S
000383	Metera Networks, Inc.
000393	Apple, Inc.
0003A3	MAVIX, Ltd.
0003B3	IA Link Systems Co., Ltd.
0003C3	Micronik Multimedia
0003D3	Internet Energy Systems, Inc.
0003E3	Cisco Systems, Inc
0003F3	Dazzle Multimedia, Inc.
000403	Nexsi Corporation
000413	SNOM Technology AG
000423	Intel Corporation
000433	Cyberboard A/S
000443	Agilent Technologies, Inc.
000453	YottaYotta, Inc.
000463	Bosch Security Systems
000473	Photonex Corporation
000483	Deltron Technology, Inc.
000493	Tsinghua Unisplendour Co., Ltd.
0004A3	Microchip Technology Inc.
0004B3	Videotek, Inc.
0004C3	CASTOR Informatique
0004D3	Toyokeiki Co., Ltd.
0004E3	Accton Technology Corp
0004F3	FsForth-               # FS FORTH-SYSTEME GmbH
000503	Iconag
000513	VTLinx Multimedia Systems, Inc.
000523	AVL List GmbH
000533	Brocade Communications Systems, Inc.
000543	IQ Wireless GmbH
000553	DVC Company, Inc.
000563	J-Works, Inc.
000573	Cisco Systems, Inc
000583	ImageCom Limited
000593	Grammar Engine Inc.
0005A3	QEI, Inc.
0005B3	Asahi-Engineering Co., Ltd.
0005C3	Pacific Instruments, Inc.
0005D3	eProduction Solutions, Inc.
0005E3	LightSand Communications, Inc.
0005F3	Webyn
000603	Baker Hughes Inc.
000613	Kawasaki Microelectronics Incorporated
000623	MGE UPS Systems France
000633	Cross Match Technologies GmbH
000643	SONO Computer Co., Ltd.
000653	Cisco Systems, Inc
000663	Human Technology Co., Ltd.
000673	TKH Security Solutions USA
000683	Bravara Communications, Inc.
000693	Flexus Computer Technology, Inc.
0006A3	Bitran Corporation
0006B3	Diagraph Corporation
0006C3	Schindler Elevator Ltd.
0006D3	Alpha Telecom, Inc. U.S.A.
0006E3	Quantitative Imaging Corporation
0006F3	AcceLight Networks
000703	CSEE Transport
000713	IP One, Inc.
000723	ELCON Systemtechnik GmbH
000733	DANCONTROL Engineering
000743	Chelsio Communications
000753	Beijing Qxcomm Technology Co., Ltd.
000763	Sunniwell Cyber Tech. Co., Ltd.
000773	Ascom Powerline Communications Ltd.
000783	SynCom Network, Inc.
000793	Shin Satellite Public Company Limited
0007A3	Ositis Software, Inc.
0007B3	Cisco Systems, Inc
0007C3	Thomson
0007D3	SPGPrints B.V.
0007E3	Navcom Technology, Inc.
0007F3	Thinkengine Networks
000803	Cos Tron
000813	Diskbank, Inc.
000823	Texa Corp.
000853	Schleicher GmbH & Co. Relaiswerke KG
000863	Entrisphere Inc.
000873	DapTechnology B.V.
000883	Hewlett Packard
000893	LE INFORMATION COMMUNICATION INC.
0008A3	Cisco Systems, Inc
0008B3	Fastwel
0008C3	Contex A/S
0008D3	Hercules Technologies S.A.S.
0008E3	Cisco Systems, Inc
0008F3	Wany
000903	Panasas, Inc
000913	SystemK Corporation
000923	Heaman System Co., Ltd
000933	Ophit Co.Ltd.
000943	Cisco Systems, Inc
000953	Linkage System Integration Co.Ltd.
000963	Dominion Lasercom Inc.
000973	Lenten Technology Co., Ltd.
000983	GlobalTop Technology, Inc.
000993	Visteon Corporation
0009A3	Leadfly Techologies Corp. Ltd.
0009B3	MCM Systems Ltd
0009C3	Netas
0009D3	Western DataCom Co., Inc.
0009E3	Angel Iglesias S.A.
0009F3	WELL Communication Corp.
000A03	ENDESA SERVICIOS, S.L.
000A13	Honeywell Video Systems
000A23	Parama Networks Inc
000A33	Emulex Corporation
000A43	Chunghwa Telecom Co., Ltd.
000A53	Intronics, Incorporated
000A63	DHD GmbH
000A73	Scientific Atlanta
000A83	SALTO SYSTEMS S.L.
000A93	W2 Networks, Inc.
000AA3	SHIMAFUJI ELECTRIC CO.,LTD.
000AB3	Fa. GIRA
000AC3	eM Technics Co., Ltd.
000AD3	INITECH Co., Ltd
000AE3	YANG MEI TECHNOLOGY CO., LTD
000AF3	Cisco Systems, Inc
000B03	Taekwang Industrial Co., Ltd
000B13	ZETRON INC
000B23	Siemens Subscriber Networks
000B33	Vivato Technologies
000B43	Microscan Systems, Inc.
000B53	INITIUM Co., Ltd.
000B63	Kaleidescape
000B73	Kodeos Communications
000B83	DATAWATT B.V.
000B93	Ritter Elektronik
000BA3	Siemens AG, I&S
000BB3	RiT technologies Ltd.
000BC3	Multiplex, Inc.
000BD3	Cd3o
000BE3	Key Stream Co., Ltd.
000BF3	BAE SYSTEMS
000C03	HDMI Licensing, LLC
000C13	Mediaq
000C23	Beijing Lanchuan Tech. Co., Ltd.
000C33	Compucase Enterprise Co. Ltd.
000C43	Ralink Technology, Corp.
000C53	Private
000C63	Zenith Electronics Corporation
000C73	TELSON ELECTRONICS CO., LTD
000C83	Logical Solutions
000C93	Xeline Co., Ltd.
000CA3	Rancho Technology, Inc.
000CB3	ROUND Co.,Ltd.
000CC3	BeWAN systems
000CD3	Prettl Elektronik Radeberg GmbH
000CE3	Option International N.V.
000CF3	CALL IMAGE SA
000D03	Matrics, Inc.
000D13	Wilhelm Rutenbeck GmbH&Co.KG
000D23	Smart Solution, Inc
000D33	Prediwave Corp.
000D43	DRS Tactical Systems Inc.
000D53	Beijing 5w Communication Corp.
000D63	DENT Instruments, Inc.
000D73	Technical Support, Inc.
000D83	Sanmina-               # Sanmina-SCI Hungary  Ltd.
000D93	Apple, Inc.
000DA3	Emerging Technologies Limited
000DB3	SDO Communication Corperation
000DC3	First Communication, Inc.
000DD3	SAMWOO Telecommunication Co.,Ltd.
000DE3	AT Sweden AB
000DF3	Asmax Solutions
000E03	Emulex Corporation
000E13	Accu-Sort Systems inc.
000E23	Incipient, Inc.
000E33	Shuko Electronics Co.,Ltd
000E43	G-Tek Electronics Sdn. Bhd.
000E53	AV TECH CORPORATION
000E63	Lemke Diagnostics GmbH
000E73	Tpack A/S
000E83	Cisco Systems, Inc
000E93	Milénio 3 Sistemas Electrónicos, Lda.
000EA3	CNCR-IT CO.,LTD,HangZhou P.R.CHINA
000EB3	Hewlett Packard
000EC3	Logic Controls, Inc.
000ED3	Epicenter, Inc.
000EE3	Chiyu Technology Co.,Ltd
000EF3	Smarthome
000F03	COM&C CO., LTD
000F13	Nisca corporation
000F23	Cisco Systems, Inc
000F33	DUALi Inc.
000F43	Wasabi Systems Inc.
000F53	Solarflare Communications Inc
000F63	Obzerv Technologies
000F73	RS Automation Co., Ltd
000F83	Brainium Technologies Inc.
000F93	Landis+Gyr Ltd.
000FA3	Alpha Networks Inc.
000FB3	Actiontec Electronics, Inc
000FC3	PalmPalm Technology, Inc.
000FD3	Digium
000FE3	Damm Cellular Systems A/S
000FF3	Jung Myoung Communications&Technology
001003	IMATRON, INC.
001013	Kontron America, Inc.
001023	Network Equipment Technologies
001033	ACCESSLAN COMMUNICATIONS, INC.
001043	A2 CORPORATION
001053	COMPUTER TECHNOLOGY CORP.
001063	STARGUIDE DIGITAL NETWORKS
001073	TECHNOBOX, INC.
001083	HP-UX E 9000/889
001093	CMS COMPUTERS, LTD.
0010A3	OMNITRONIX, INC.
0010B3	NOKIA MULTIMEDIA TERMINALS
0010C3	CSI-CONTROL SYSTEMS
0010D3	GRIPS ELECTRONIC GMBH
0010E3	Hewlett Packard
0010F3	Nexcom International Co., Ltd.
001103	kawamura electric inc.
001113	Fraunhofer FOKUS
001123	Appointech, Inc.
001133	Siemens Austria SIMEA
001143	Dell Inc.
001153	Trident Tek, Inc.
001163	SYSTEM SPA DEPT. ELECTRONICS
001173	SMART Storage Systems
001183	Datalogic ADC, Inc.
001193	Cisco Systems, Inc
0011A3	LanReady Technologies Inc.
0011B3	YOSHIMIYA CO.,LTD.
0011C3	Transceiving System Technology Corporation
0011D3	NextGenTel Holding ASA
0011E3	Thomson, Inc.
0011F3	NeoMedia Europe AG
001203	ActivNetworks
001213	Metrohm AG
001223	Pixim
001233	JRC TOKKI Co.,Ltd.
001243	Cisco Systems, Inc
001253	AudioDev AB
001263	Data Voice Technologies GmbH
001273	Stoke Inc
001283	Nortel Networks
001293	GE Energy
0012A3	Trust International B.V.
0012B3	Advance Wireless Technology Corp.
0012C3	WIT S.A.
0012D3	Zetta Systems, Inc.
0012E3	Agat-RT, Ltd.
0012F3	connectBlue AB
001303	GateConnect
001313	GuangZhou Post & Telecom Equipment ltd
001323	Cap Co., Ltd.
001333	BaudTec Corporation
001343	Matsushita Electronic Components (Europe) GmbH
001353	HYDAC Filtertechnik GMBH
001363	Verascape, Inc.
001373	BLwave Electronics Co., Ltd
001383	Application Technologies and Engineering Research Laboratory
001393	Panta Systems, Inc.
0013A3	Siemens Com CPE Devices
0013B3	Ecom Communications Technology Co., Ltd.
0013C3	Cisco Systems, Inc
0013D3	MICRO-STAR INTERNATIONAL CO., LTD.
0013E3	CoVi Technologies, Inc.
0013F3	Giga-byte Communications Inc.
001403	Renasis, LLC
001413	Trebing & Himstedt Prozeßautomation GmbH & Co. KG
001423	J-S Co. NEUROCOM
001433	Empower Technologies(Canada) Inc.
001443	Consultronics Europe Ltd
001453	ADVANTECH TECHNOLOGIES CO.,LTD
001463	IDCS N.V.
001473	Bookham Inc
001483	eXS Inc.
001493	Systimax Solutions
0014A3	Vitelec BV
0014B3	CoreStar International Corp
0014C3	Seagate Technology
0014D3	Sepsa
0014E3	mm-lab GmbH
0014F3	ViXS Systems Inc
001503	PROFIcomms s.r.o.
001513	EFS sas
001523	Meteor Communications Corporation
001533	NADAM.CO.,LTD
001543	Aberdeen Test Center
001553	Cytyc Corporation
001563	Cisco Systems, Inc
001573	NewSoft  Technology Corporation
001583	IVT corporation
001593	U4EA Technologies Inc.
0015A3	ARRIS Group, Inc.
0015B3	Caretech AB
0015C3	Ruf Telematik AG
0015D3	Pantech&               # Pantech&Curitel Communications, Inc.
0015E3	Dream Technologies Corporation
0015F3	PELTOR AB
001603	COOLKSKY Co., LTD
001613	LibreStream Technologies Inc.
001623	Interval Media
001633	Oxford Diagnostics Ltd.
001643	Sunhillo Corporation
001653	LEGO System A/S IE Electronics Division
001663	KBT Mobile
001673	Bury GmbH & Co. KG
001683	WEBIO International Co.,.Ltd.
001693	PowerLink Technology Inc.
0016A3	Ingeteam Transmission&Distribution, S.A.
0016B3	Photonicbridges (China) Co., Ltd.
0016C3	BA Systems Inc
0016D3	Wistron Corporation
0016E3	ASKEY COMPUTER CORP
0016F3	CAST Information Co., Ltd
001703	MOSDAN Internation Co.,Ltd
001713	Tiger NetCom
001723	Summit Data Communications
001733	Sfr
001743	Deck Srl
001753	nFore Technology Inc.
001763	Essentia S.p.A.
001773	Laketune Technologies Co. Ltd
001783	Texas Instruments
001793	Tigi Corporation
0017A3	MIX s.r.l.
0017B3	Aftek Infosys Limited
0017C3	KTF Technologies Inc.
0017D3	Etymotic Research, Inc.
0017E3	Texas Instruments
0017F3	Harris Corparation
001803	ArcSoft Shanghai Co. LTD
001813	Sony Mobile Communications AB
001823	Delta Electronics, Inc.
001833	Texas Instruments
001843	Dawevision Ltd
001853	Atera Networks LTD.
001863	Veritech Electronics Limited
001873	Cisco Systems, Inc
001883	FORMOSA21 INC.
001893	SHENZHEN PHOTON BROADBAND TECHNOLOGY CO.,LTD
0018A3	ZIPPY TECHNOLOGY CORP.
0018B3	TEC WizHome Co., Ltd.
0018C3	CS Corporation
0018D3	Teamcast
0018E3	Visualgate Systems, Inc.
0018F3	ASUSTek COMPUTER INC.
001903	Bigfoot Networks Inc
001913	Chuang-Yi Network Equipment Co.Ltd.
001923	Phonex Korea Co., LTD.
001933	Strix Systems, Inc.
001943	Belden
001953	Chainleader Communications Corp.
001963	Sony Mobile Communications AB
001973	Zeugma Systems
001983	CCT R&D Limited
001993	Changshu Switchgear MFG. Co.,Ltd. (Former Changshu Switchgea
0019A3	asteel electronique atlantique
0019B3	Stanford Research Systems
0019C3	Qualitrol
0019D3	TRAK Microwave
0019E3	Apple, Inc.
0019F3	Cetis, Inc
001A03	Angel Electronics Co., Ltd.
001A13	Wanlida Group Co., LTD
001A23	Ice Qube, Inc
001A33	ASI Communications, Inc.
001A43	Logical Link Communications
001A53	Zylaya
001A63	Elster Solutions, LLC,
001A73	Gemtek Technology Co., Ltd.
001A83	Pegasus Technologies Inc.
001A93	ERCO Leuchten GmbH
001AA3	Delorme
001AB3	VISIONITE INC.
001AC3	Scientific-Atlanta, Inc
001AD3	Vamp Ltd.
001AE3	Cisco Systems, Inc
001AF3	Samyoung Electronics
001B03	Action Technology (SZ) Co., Ltd
001B13	Icron Technologies Corporation
001B23	SimpleComTools
001B33	Nokia Danmark A/S
001B43	Beijing DG Telecommunications equipment Co.,Ltd
001B53	Cisco Systems, Inc
001B63	Apple, Inc.
001B73	DTL Broadcast Ltd
001B83	Finsoft Ltd
001B93	JC Decaux SA DNT
001BA3	Flexit Group GmbH
001BB3	Condalo GmbH
001BC3	Mobisolution Co.,Ltd
001BD3	Panasonic Corp. AVC Company
